Respondent_ID,Age_Group,Height_Group,City_Type,Occupation,Monthly_Personal_Income,Body_Shape,Shopping_Frequency,Shopping_Channels,Clothing_Types_Bought,Fit_Issue_Frequency,Biggest_Fit_Issues,Fit_Frustration_Score,Skipped_Purchase_Due_To_Fit,Alteration_Frequency,Monthly_Alteration_Spend,Online_Return_Frequency,Return_Reasons,Preferred_Bottomwear,Preferred_Topwear,Preferred_Dress_Types,Preferred_Colors,Budget_Per_Item,Pay_20_Percent_More_For_Perfect_Fit,Switch_Brand_For_Better_Fit,Purchase_Likelihood
PF101092,28–35,5’2” – 5’3”,Tier 1 (Metro),Self-employed,"Below ₹20,000",Rectangle (straight),Monthly,Amazon / Flipkart,"Ethnic wear (Kurtas, sets), Tops / Shirts",Sometimes,"Waist not fitting properly, Pants too long, Dresses too long",3,"Yes, sometimes",Often,₹700+,Rarely,"Other, Poor fit","Formal trousers, Straight jeans, Slim fit jeans",Formal shirts,Mini dresses,"Pastel, Dark tones","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF101093,18–22,4’10” – 5’0”,Tier 2,Student,"Below ₹20,000",Rectangle (straight),Once every 2–3 months,"Myntra, Ajio, Local stores","Tops / Shirts, Dresses, Jeans / Trousers",Always,"Pants too long, Dresses too long, Poor overall proportion",4,"Yes, sometimes",Sometimes,₹700+,Sometimes,Poor fit,"Slim fit jeans, Straight jeans","Fitted tops, Formal shirts, Crop tops","A-line, Maxi dresses","Pastel, Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,"Yes, definitely",Definitely will buy
PF101094,23–27,5’2” – 5’3”,Tier 2,Working Professional,"₹50,000 – ₹1,00,000",Hourglass,Monthly,Ajio,"Ethnic wear (Kurtas, sets), Jeans / Trousers, Tops / Shirts",Often,"Dresses too long, Pants too long",4,Rarely,Sometimes,₹300–₹700,Sometimes,Poor fit,"Wide-leg pants, Cropped pants, Formal trousers","Fitted tops, Casual tops, Formal shirts",Midi dresses,"Neutral (Black, White, Beige), Dark tones, Pastel","₹3,000 – ₹5,000",Depends,Maybe,Definitely will buy
PF101095,Under 18,5’0” – 5’2”,Tier 2,Student,No income,Pear (hips wider),Monthly,"Myntra, Ajio, Amazon / Flipkart","Dresses, Jeans / Trousers",Never,No issue,2,Rarely,Always,₹0,Rarely,Size inconsistency,"Wide-leg pants, Slim fit jeans, Straight jeans","Fitted tops, Casual tops",Midi dresses,"Neutral (Black, White, Beige), Prints","Below ₹1,000",Depends,Maybe,Maybe
PF101096,23–27,4’10” – 5’0”,Tier 3 / Smaller town,Working Professional,"Below ₹20,000",Rectangle (straight),Once every 2–3 months,"Myntra, Amazon / Flipkart, Local stores","Jeans / Trousers, Tops / Shirts",Often,Waist not fitting properly,3,Never,Always,₹100–₹300,Never,Other,"Straight jeans, Wide-leg pants",Formal shirts,"A-line, Mini dresses","Neutral (Black, White, Beige), Pastel, Dark tones","₹1,000 – ₹2,000",Depends,Maybe,Likely
PF101097,36–45,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"Below ₹20,000",Hourglass,Monthly,"Local stores, Myntra","Ethnic wear (Kurtas, sets), Tops / Shirts",Often,"Pants too long, Waist not fitting properly, Dresses too long",5,"Yes, sometimes",Always,₹300–₹700,Sometimes,"Poor fit, Size inconsistency","Formal trousers, Straight jeans","Formal shirts, Fitted tops, Oversized tops","Mini dresses, A-line","Pastel, Dark tones, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF101098,28–35,5’2” – 5’3”,Tier 2,Self-employed,"₹20,000 – ₹50,000",Hourglass,Once every 2–3 months,Zara / H&M,"Tops / Shirts, Ethnic wear (Kurtas, sets), Dresses",Always,Sleeves too long,4,"Yes, frequently",Often,₹100–₹300,Rarely,"Poor fit, Size inconsistency","Straight jeans, Formal trousers, Slim fit jeans",Oversized tops,"Midi dresses, Maxi dresses","Neutral (Black, White, Beige), Dark tones, Pastel","₹2,000 – ₹3,000",Definitely buy,"Yes, definitely",Definitely will buy
PF101099,36–45,Above 5’3”,Tier 2,Student,No income,Not sure,Once every 2–3 months,"Amazon / Flipkart, Ajio, Myntra","Ethnic wear (Kurtas, sets)",Never,No issue,2,Rarely,Never,₹0,Rarely,Poor fit,"Wide-leg pants, Formal trousers","Crop tops, Oversized tops",Midi dresses,"Pastel, Bright colors, Dark tones","₹1,000 – ₹2,000",Will not buy,No,Definitely not
PF101100,23–27,Above 5’3”,Tier 2,Self-employed,"₹50,000 – ₹1,00,000",Hourglass,Rarely,Zara / H&M,"Jeans / Trousers, Activewear, Dresses",Rarely,"Waist not fitting properly, Sleeves too long, Dresses too long",1,"Yes, sometimes",Sometimes,₹0,Never,Other,Cropped pants,"Oversized tops, Casual tops","Midi dresses, Maxi dresses",Prints,"₹2,000 – ₹3,000",Will not buy,Maybe,Definitely not
PF101101,28–35,5’2” – 5’3”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Rectangle (straight),Monthly,Ajio,"Jeans / Trousers, Dresses",Often,"Sleeves too long, Pants too long, Poor overall proportion",4,"Yes, frequently",Often,₹0,Rarely,Style mismatch,"Wide-leg pants, Formal trousers, Slim fit jeans",Fitted tops,Midi dresses,"Neutral (Black, White, Beige), Dark tones","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely will buy
PF101102,Under 18,Above 5’3”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Apple (midsection wider),Once every 2–3 months,"Instagram brands, Myntra","Ethnic wear (Kurtas, sets), Jeans / Trousers",Sometimes,Waist not fitting properly,3,"Yes, sometimes",Sometimes,₹0,Sometimes,"Size inconsistency, Poor fit",Straight jeans,"Fitted tops, Formal shirts","A-line, Mini dresses",Pastel,"₹2,000 – ₹3,000",Unlikely,Maybe,Definitely not
PF101103,23–27,5’2” – 5’3”,Tier 1 (Metro),Working Professional,"₹20,000 – ₹50,000",Not sure,Once every 2–3 months,"Amazon / Flipkart, Zara / H&M","Ethnic wear (Kurtas, sets), Dresses",Always,Poor overall proportion,4,"Yes, frequently",Always,₹300–₹700,Very often,"Poor fit, Size inconsistency","Wide-leg pants, Slim fit jeans","Fitted tops, Formal shirts",Mini dresses,"Neutral (Black, White, Beige), Dark tones","₹2,000 – ₹3,000",Definitely buy,"Yes, definitely",Definitely will buy
PF101104,18–22,5’2” – 5’3”,Tier 1 (Metro),Student,"Below ₹20,000",Pear (hips wider),Rarely,Myntra,"Tops / Shirts, Ethnic wear (Kurtas, sets), Jeans / Trousers",Rarely,"Dresses too long, Sleeves too long, Waist not fitting properly",3,"Yes, sometimes",Always,₹300–₹700,Rarely,Poor fit,"Slim fit jeans, Straight jeans","Casual tops, Formal shirts, Crop tops","Mini dresses, A-line","Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,Maybe,Likely
PF101105,18–22,5’0” – 5’2”,Tier 1 (Metro),Student,No income,Hourglass,Weekly,"Myntra, Zara / H&M, Local stores","Tops / Shirts, Jeans / Trousers",Sometimes,"Waist not fitting properly, Pants too long, Dresses too long",3,Rarely,Never,₹0,Rarely,Fabric quality,"Formal trousers, Wide-leg pants","Fitted tops, Formal shirts, Crop tops",A-line,"Neutral (Black, White, Beige)","Below ₹1,000",Unlikely,Maybe,Maybe
PF101106,23–27,Above 5’3”,Tier 1 (Metro),Self-employed,"₹50,000 – ₹1,00,000",Apple (midsection wider),Monthly,"Myntra, Local stores","Jeans / Trousers, Tops / Shirts",Rarely,"Waist not fitting properly, Sleeves too long",2,Never,Never,₹0,Never,Other,"Straight jeans, Cropped pants, Wide-leg pants","Casual tops, Formal shirts",Bodycon,Prints,"₹3,000 – ₹5,000",Unlikely,No,Definitely not
PF101107,28–35,Above 5’3”,Tier 3 / Smaller town,Student,"₹20,000 – ₹50,000",Not sure,Once every 2–3 months,"Myntra, Local stores, Ajio","Dresses, Jeans / Trousers",Never,No issue,2,Rarely,Never,₹0,Never,Other,"Wide-leg pants, Straight jeans, Slim fit jeans","Formal shirts, Crop tops, Oversized tops",Bodycon,Prints,"₹1,000 – ₹2,000",Will not buy,No,Definitely not
PF101108,28–35,5’0” – 5’2”,Tier 2,Working Professional,"₹50,000 – ₹1,00,000",Rectangle (straight),Rarely,"Zara / H&M, Local stores, Myntra",Tops / Shirts,Sometimes,"Sleeves too long, Pants too long",3,"Yes, sometimes",Sometimes,₹300–₹700,Never,Other,"Formal trousers, Wide-leg pants",Formal shirts,"A-line, Midi dresses","Neutral (Black, White, Beige), Dark tones, Bright colors","₹2,000 – ₹3,000",Depends,Maybe,Definitely will buy
PF101109,23–27,4’10” – 5’0”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Hourglass,Weekly,Myntra,"Tops / Shirts, Jeans / Trousers",Rarely,Pants too long,3,Rarely,Always,₹100–₹300,Never,Other,Straight jeans,Formal shirts,Mini dresses,"Neutral (Black, White, Beige), Pastel, Dark tones","₹2,000 – ₹3,000",Depends,Maybe,Likely
PF101110,28–35,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"Above ₹1,00,000",Rectangle (straight),Weekly,Zara / H&M,Jeans / Trousers,Often,Pants too long,4,"Yes, frequently",Always,₹300–₹700,Often,Poor fit,Wide-leg pants,Oversized tops,Maxi dresses,"Bright colors, Pastel, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Definitely buy,"Yes, definitely",Definitely will buy
PF101111,36–45,5’0” – 5’2”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Hourglass,Once every 2–3 months,"Instagram brands, Ajio","Tops / Shirts, Dresses, Ethnic wear (Kurtas, sets)",Always,Poor overall proportion,5,"Yes, frequently",Always,₹700+,Rarely,Poor fit,"Wide-leg pants, Formal trousers, Slim fit jeans","Formal shirts, Fitted tops",Bodycon,"Neutral (Black, White, Beige), Pastel, Bright colors","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely will buy
PF101112,18–22,Below 4’10”,Tier 1 (Metro),Student,No income,Not sure,Once every 2–3 months,"Myntra, Amazon / Flipkart","Jeans / Trousers, Dresses",Sometimes,"Dresses too long, Sleeves too long, Pants too long",4,"Yes, sometimes",Sometimes,₹100–₹300,Rarely,"Other, Size inconsistency","Wide-leg pants, Straight jeans, Cropped pants",Casual tops,"Midi dresses, A-line","Dark tones, Prints, Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,"Yes, definitely",Definitely will buy
PF101113,Under 18,Above 5’3”,Tier 3 / Smaller town,Student,"Below ₹20,000",Hourglass,Once every 2–3 months,"Local stores, Ajio","Tops / Shirts, Jeans / Trousers",Rarely,Waist not fitting properly,2,"Yes, sometimes",Never,₹0,Very often,Poor fit,"Wide-leg pants, Straight jeans, Formal trousers","Crop tops, Formal shirts, Oversized tops",Mini dresses,"Neutral (Black, White, Beige), Pastel","₹1,000 – ₹2,000",Unlikely,Maybe,Definitely not
PF101114,28–35,5’0” – 5’2”,Tier 3 / Smaller town,Working Professional,"₹20,000 – ₹50,000",Pear (hips wider),Rarely,"Local stores, Ajio","Tops / Shirts, Dresses, Activewear",Never,No issue,1,"Yes, sometimes",Sometimes,₹100–₹300,Never,Other,"Slim fit jeans, Formal trousers","Crop tops, Oversized tops, Casual tops","A-line, Maxi dresses","Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Will not buy,Maybe,Unlikely
PF101115,18–22,5’0” – 5’2”,Tier 2,Student,No income,Not sure,Once every 2–3 months,Amazon / Flipkart,"Dresses, Tops / Shirts, Activewear",Rarely,"Waist not fitting properly, Pants too long",2,"Yes, sometimes",Never,₹0,Rarely,Poor fit,"Straight jeans, Formal trousers, Slim fit jeans","Crop tops, Casual tops",Midi dresses,"Neutral (Black, White, Beige)","Below ₹1,000",Unlikely,Maybe,Unlikely
PF101116,45+,Above 5’3”,Tier 2,Homemaker,No income,Hourglass,Once every 2–3 months,Myntra,"Jeans / Trousers, Dresses",Sometimes,"Pants too long, Dresses too long, Poor overall proportion",5,Rarely,Never,₹0,Rarely,"Poor fit, Fabric quality",Formal trousers,"Crop tops, Formal shirts","A-line, Bodycon","Dark tones, Bright colors","₹1,000 – ₹2,000",Depends,Maybe,Definitely not
PF101117,28–35,5’0” – 5’2”,Tier 1 (Metro),Other,No income,Apple (midsection wider),Rarely,"Ajio, Local stores, Amazon / Flipkart",Dresses,Rarely,Dresses too long,1,Rarely,Always,₹700+,Sometimes,Poor fit,"Cropped pants, Formal trousers, Wide-leg pants",Fitted tops,"Midi dresses, Mini dresses",Bright colors,"₹1,000 – ₹2,000",Will not buy,Maybe,Maybe
PF101118,23–27,4’10” – 5’0”,Tier 2,Student,No income,Not sure,Once every 2–3 months,Zara / H&M,"Tops / Shirts, Dresses",Often,Dresses too long,3,"Yes, sometimes",Never,₹0,Rarely,Poor fit,"Slim fit jeans, Wide-leg pants","Formal shirts, Fitted tops, Oversized tops","A-line, Midi dresses","Neutral (Black, White, Beige), Pastel","Below ₹1,000",Unlikely,Maybe,Likely
PF101119,18–22,4’10” – 5’0”,Tier 1 (Metro),Student,"Below ₹20,000",Not sure,Once every 2–3 months,Myntra,"Jeans / Trousers, Tops / Shirts",Never,No issue,1,"Yes, sometimes",Sometimes,₹300–₹700,Rarely,"Size inconsistency, Poor fit","Straight jeans, Wide-leg pants","Crop tops, Formal shirts, Casual tops",Mini dresses,"Bright colors, Dark tones","₹1,000 – ₹2,000",Will not buy,Maybe,Unlikely
PF101120,Under 18,5’2” – 5’3”,Tier 1 (Metro),Student,No income,Pear (hips wider),Once every 2–3 months,"Myntra, Amazon / Flipkart",Jeans / Trousers,Often,"Waist not fitting properly, Poor overall proportion, Pants too long",4,"Yes, sometimes",Often,₹100–₹300,Often,Size inconsistency,"Formal trousers, Straight jeans",Casual tops,"Midi dresses, Maxi dresses","Neutral (Black, White, Beige)","Below ₹1,000",Depends,"Yes, definitely",Likely
PF101121,45+,Below 4’10”,Tier 2,Homemaker,"₹20,000 – ₹50,000",Hourglass,Once every 2–3 months,Myntra,Jeans / Trousers,Often,Dresses too long,5,"Yes, sometimes",Always,₹700+,Sometimes,"Poor fit, Size inconsistency","Straight jeans, Wide-leg pants","Formal shirts, Crop tops","Mini dresses, A-line","Dark tones, Pastel","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF101122,45+,5’0” – 5’2”,Tier 3 / Smaller town,Working Professional,"₹20,000 – ₹50,000",Apple (midsection wider),Once every 2–3 months,"Ajio, Local stores","Tops / Shirts, Jeans / Trousers",Sometimes,"Poor overall proportion, Pants too long",4,"Yes, sometimes",Always,₹300–₹700,Rarely,"Poor fit, Other","Formal trousers, Slim fit jeans","Crop tops, Casual tops",A-line,"Bright colors, Prints, Dark tones","₹1,000 – ₹2,000",Depends,Maybe,Maybe
PF101123,18–22,Above 5’3”,Tier 3 / Smaller town,Homemaker,No income,Pear (hips wider),Once every 2–3 months,Myntra,Tops / Shirts,Rarely,"Pants too long, Waist not fitting properly",1,Rarely,Never,₹0,Never,Other,"Wide-leg pants, Formal trousers",Casual tops,A-line,"Pastel, Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Will not buy,No,Definitely not
PF101124,23–27,4’10” – 5’0”,Tier 1 (Metro),Other,"₹20,000 – ₹50,000",Rectangle (straight),Once every 2–3 months,"Amazon / Flipkart, Instagram brands","Jeans / Trousers, Ethnic wear (Kurtas, sets), Tops / Shirts",Sometimes,"Waist not fitting properly, Sleeves too long, Pants too long",4,"Yes, sometimes",Never,₹0,Rarely,Poor fit,"Formal trousers, Cropped pants, Slim fit jeans",Fitted tops,A-line,"Neutral (Black, White, Beige), Dark tones, Bright colors","₹2,000 – ₹3,000",Unlikely,"Yes, definitely",Likely
PF101125,23–27,4’10” – 5’0”,Tier 3 / Smaller town,Other,"Below ₹20,000",Pear (hips wider),Rarely,"Amazon / Flipkart, Myntra, Ajio","Tops / Shirts, Activewear",Often,"Sleeves too long, Waist not fitting properly, Pants too long",5,"Yes, sometimes",Sometimes,₹100–₹300,Often,"Poor fit, Size inconsistency",Cropped pants,"Crop tops, Formal shirts",Mini dresses,"Dark tones, Bright colors","Below ₹1,000",Depends,"Yes, definitely",Definitely will buy
PF101126,36–45,4’10” – 5’0”,Tier 1 (Metro),Working Professional,"Below ₹20,000",Pear (hips wider),Monthly,"Zara / H&M, Amazon / Flipkart, Local stores","Dresses, Tops / Shirts, Jeans / Trousers",Always,"Pants too long, Dresses too long",3,Rarely,Never,₹0,Rarely,"Poor fit, Size inconsistency","Formal trousers, Straight jeans, Slim fit jeans",Fitted tops,"Bodycon, A-line",Dark tones,"₹1,000 – ₹2,000",Will not buy,Maybe,Maybe
PF101127,28–35,5’2” – 5’3”,Tier 1 (Metro),Working Professional,"Above ₹1,00,000",Pear (hips wider),Weekly,"Zara / H&M, Myntra",Jeans / Trousers,Rarely,"Waist not fitting properly, Pants too long",2,Rarely,Never,₹0,Never,Other,Wide-leg pants,"Formal shirts, Crop tops","Maxi dresses, Bodycon",Pastel,"Above ₹5,000",Unlikely,No,Unlikely
PF101128,Under 18,Above 5’3”,Tier 2,Homemaker,No income,Rectangle (straight),Monthly,"Amazon / Flipkart, Myntra, Ajio","Jeans / Trousers, Tops / Shirts",Sometimes,"Sleeves too long, Dresses too long, Poor overall proportion",3,"Yes, sometimes",Never,₹0,Rarely,"Poor fit, Size inconsistency","Slim fit jeans, Formal trousers, Straight jeans",Casual tops,Mini dresses,"Pastel, Dark tones, Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,Maybe,Definitely not
PF101129,36–45,5’0” – 5’2”,Tier 1 (Metro),Other,"₹20,000 – ₹50,000",Not sure,Rarely,"Zara / H&M, Instagram brands, Myntra","Ethnic wear (Kurtas, sets)",Always,"Dresses too long, Poor overall proportion, Sleeves too long",5,Rarely,Often,₹100–₹300,Never,Other,Wide-leg pants,Fitted tops,Midi dresses,"Neutral (Black, White, Beige), Dark tones, Pastel","₹1,000 – ₹2,000",Depends,Maybe,Definitely will buy
PF101130,18–22,5’0” – 5’2”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Not sure,Once every 2–3 months,Myntra,"Dresses, Tops / Shirts",Often,Sleeves too long,4,"Yes, frequently",Often,₹700+,Very often,Size inconsistency,"Straight jeans, Wide-leg pants, Slim fit jeans",Casual tops,"Midi dresses, A-line","Dark tones, Pastel","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely will buy
PF101131,36–45,5’0” – 5’2”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Rectangle (straight),Monthly,"Myntra, Local stores","Tops / Shirts, Dresses",Always,Dresses too long,5,"Yes, frequently",Sometimes,₹300–₹700,Very often,Size inconsistency,"Wide-leg pants, Formal trousers",Formal shirts,A-line,"Dark tones, Pastel, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Depends,Maybe,Likely
PF101132,23–27,5’0” – 5’2”,Tier 3 / Smaller town,Working Professional,"₹50,000 – ₹1,00,000",Hourglass,Rarely,"Myntra, Instagram brands","Jeans / Trousers, Tops / Shirts, Dresses",Never,No issue,2,"Yes, sometimes",Never,₹0,Rarely,"Size inconsistency, Poor fit",Straight jeans,"Casual tops, Oversized tops, Crop tops",Midi dresses,"Bright colors, Neutral (Black, White, Beige), Dark tones","₹3,000 – ₹5,000",Will not buy,Maybe,Unlikely
PF101133,28–35,4’10” – 5’0”,Tier 2,Working Professional,"Above ₹1,00,000",Pear (hips wider),Rarely,Myntra,"Ethnic wear (Kurtas, sets), Dresses",Rarely,"Pants too long, Sleeves too long, Poor overall proportion",2,Never,Often,₹100–₹300,Never,Other,"Wide-leg pants, Slim fit jeans, Straight jeans",Formal shirts,Midi dresses,"Dark tones, Pastel, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Depends,No,Maybe
PF101134,23–27,Above 5’3”,Tier 1 (Metro),Other,"Below ₹20,000",Pear (hips wider),Monthly,Ajio,"Jeans / Trousers, Tops / Shirts, Ethnic wear (Kurtas, sets)",Sometimes,"Waist not fitting properly, Pants too long",4,Never,Never,₹0,Never,Other,"Wide-leg pants, Formal trousers, Straight jeans","Crop tops, Fitted tops","Midi dresses, A-line","Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Depends,Maybe,Definitely not
PF101135,45+,Above 5’3”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Apple (midsection wider),Weekly,"Myntra, Local stores, Zara / H&M",Tops / Shirts,Never,No issue,1,"Yes, sometimes",Never,₹0,Sometimes,"Poor fit, Size inconsistency","Formal trousers, Wide-leg pants",Casual tops,A-line,"Pastel, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Will not buy,Maybe,Definitely not
PF101136,28–35,5’0” – 5’2”,Tier 2,Working Professional,"₹50,000 – ₹1,00,000",Not sure,Once every 2–3 months,"Myntra, Ajio, Amazon / Flipkart","Jeans / Trousers, Ethnic wear (Kurtas, sets)",Always,"Waist not fitting properly, Pants too long, Sleeves too long",5,Rarely,Always,₹100–₹300,Sometimes,"Style mismatch, Poor fit",Formal trousers,Oversized tops,Bodycon,"Dark tones, Neutral (Black, White, Beige)","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Definitely will buy
PF101137,28–35,4’10” – 5’0”,Tier 2,Homemaker,"Below ₹20,000",Hourglass,Weekly,Myntra,"Ethnic wear (Kurtas, sets)",Rarely,Waist not fitting properly,2,Never,Never,₹0,Sometimes,"Poor fit, Size inconsistency","Straight jeans, Slim fit jeans, Wide-leg pants",Crop tops,"Mini dresses, Bodycon","Dark tones, Bright colors","₹2,000 – ₹3,000",Will not buy,No,Unlikely
PF101138,23–27,4’10” – 5’0”,Tier 3 / Smaller town,Student,No income,Hourglass,Monthly,"Local stores, Myntra, Ajio","Jeans / Trousers, Dresses",Rarely,Pants too long,2,"Yes, sometimes",Often,₹300–₹700,Never,Other,Straight jeans,Crop tops,Bodycon,"Bright colors, Pastel, Dark tones","Below ₹1,000",Unlikely,Maybe,Unlikely
PF101139,28–35,5’0” – 5’2”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Not sure,Monthly,Myntra,"Tops / Shirts, Jeans / Trousers",Always,"Sleeves too long, Poor overall proportion",4,"Yes, sometimes",Never,₹0,Never,Other,"Straight jeans, Wide-leg pants","Formal shirts, Fitted tops","A-line, Maxi dresses","Dark tones, Neutral (Black, White, Beige), Pastel","₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF101140,18–22,4’10” – 5’0”,Tier 1 (Metro),Other,"₹20,000 – ₹50,000",Pear (hips wider),Once every 2–3 months,Zara / H&M,"Dresses, Tops / Shirts, Jeans / Trousers",Always,Poor overall proportion,5,"Yes, frequently",Often,₹300–₹700,Rarely,"Poor fit, Other","Wide-leg pants, Straight jeans","Formal shirts, Oversized tops",A-line,Pastel,"₹2,000 – ₹3,000",Depends,"Yes, definitely",Definitely will buy
PF101141,23–27,5’2” – 5’3”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Pear (hips wider),Monthly,"Local stores, Instagram brands",Jeans / Trousers,Never,No issue,1,"Yes, sometimes",Always,₹100–₹300,Rarely,"Fabric quality, Size inconsistency",Slim fit jeans,"Fitted tops, Casual tops, Oversized tops",A-line,"Pastel, Dark tones, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Unlikely,Maybe,Maybe
PF101142,23–27,5’2” – 5’3”,Tier 3 / Smaller town,Working Professional,"Below ₹20,000",Not sure,Rarely,"Myntra, Ajio",Dresses,Always,"Waist not fitting properly, Pants too long, Sleeves too long",4,"Yes, frequently",Always,₹300–₹700,Rarely,"Poor fit, Size inconsistency","Straight jeans, Formal trousers, Slim fit jeans","Crop tops, Formal shirts",Bodycon,"Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Likely buy,"Yes, definitely",Definitely will buy
PF101143,18–22,5’0” – 5’2”,Tier 2,Student,"Below ₹20,000",Rectangle (straight),Monthly,Amazon / Flipkart,"Ethnic wear (Kurtas, sets)",Always,Sleeves too long,5,"Yes, sometimes",Often,₹100–₹300,Sometimes,Poor fit,"Slim fit jeans, Straight jeans, Formal trousers","Fitted tops, Oversized tops, Casual tops",Maxi dresses,"Neutral (Black, White, Beige), Pastel","₹1,000 – ₹2,000",Likely buy,"Yes, definitely",Definitely will buy
PF101144,45+,Above 5’3”,Tier 1 (Metro),Working Professional,"₹50,000 – ₹1,00,000",Rectangle (straight),Monthly,Zara / H&M,"Dresses, Tops / Shirts",Rarely,Waist not fitting properly,1,"Yes, sometimes",Sometimes,₹0,Rarely,"Size inconsistency, Poor fit",Formal trousers,Casual tops,"Maxi dresses, Bodycon","Dark tones, Pastel, Neutral (Black, White, Beige)","₹3,000 – ₹5,000",Unlikely,No,Definitely not
PF101145,36–45,5’0” – 5’2”,Tier 2,Homemaker,No income,Pear (hips wider),Once every 2–3 months,Myntra,"Jeans / Trousers, Ethnic wear (Kurtas, sets), Dresses",Never,No issue,1,Never,Never,₹0,Rarely,"Poor fit, Size inconsistency","Straight jeans, Slim fit jeans","Formal shirts, Fitted tops","Midi dresses, A-line","Neutral (Black, White, Beige), Bright colors, Pastel","Below ₹1,000",Will not buy,No,Maybe
PF101146,23–27,Above 5’3”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Apple (midsection wider),Monthly,"Ajio, Local stores, Myntra","Dresses, Ethnic wear (Kurtas, sets)",Often,Pants too long,4,"Yes, frequently",Sometimes,₹300–₹700,Rarely,Poor fit,"Formal trousers, Straight jeans, Wide-leg pants","Formal shirts, Casual tops, Fitted tops","Midi dresses, A-line","Dark tones, Neutral (Black, White, Beige), Pastel","₹2,000 – ₹3,000",Likely buy,"Yes, definitely",Maybe
PF101147,23–27,4’10” – 5’0”,Tier 2,Student,No income,Not sure,Once every 2–3 months,"Amazon / Flipkart, Myntra",Dresses,Sometimes,"Poor overall proportion, Pants too long",4,"Yes, frequently",Often,₹100–₹300,Sometimes,Poor fit,"Wide-leg pants, Straight jeans","Fitted tops, Crop tops, Casual tops","A-line, Bodycon","Neutral (Black, White, Beige)","₹1,000 – ₹2,000",Likely buy,"Yes, definitely",Definitely will buy
PF101148,23–27,5’2” – 5’3”,Tier 2,Working Professional,"₹20,000 – ₹50,000",Hourglass,Rarely,Myntra,"Tops / Shirts, Jeans / Trousers, Dresses",Sometimes,Pants too long,3,"Yes, sometimes",Sometimes,₹300–₹700,Rarely,"Style mismatch, Size inconsistency","Cropped pants, Wide-leg pants, Straight jeans","Fitted tops, Formal shirts","Mini dresses, Maxi dresses","Neutral (Black, White, Beige), Dark tones, Pastel","₹2,000 – ₹3,000",Unlikely,Maybe,Unlikely
PF101149,18–22,Below 4’10”,Tier 3 / Smaller town,Student,"₹20,000 – ₹50,000",Pear (hips wider),Weekly,Amazon / Flipkart,"Jeans / Trousers, Tops / Shirts",Sometimes,"Pants too long, Waist not fitting properly, Dresses too long",2,Rarely,Sometimes,₹0,Often,"Size inconsistency, Fabric quality",Straight jeans,"Casual tops, Oversized tops",Midi dresses,"Pastel, Neutral (Black, White, Beige), Bright colors","₹2,000 – ₹3,000",Will not buy,No,Maybe
PF101150,18–22,Below 4’10”,Tier 1 (Metro),Student,No income,Rectangle (straight),Monthly,"Ajio, Instagram brands",Dresses,Often,"Dresses too long, Pants too long",4,Rarely,Never,₹0,Rarely,Poor fit,"Straight jeans, Slim fit jeans","Casual tops, Crop tops",Bodycon,Pastel,"Below ₹1,000",Depends,Maybe,Definitely will buy
